226:FGMRES Solver Time:2.8915
238:FGMRES Solver Time:0.354596
253:FGMRES Solver Time:3.74545
265:FGMRES Solver Time:0.309652
277:FGMRES Solver Time:3.78905
289:FGMRES Solver Time:0.309893
301:FGMRES Solver Time:3.75036
313:FGMRES Solver Time:0.312178
325:FGMRES Solver Time:3.75325
337:FGMRES Solver Time:0.31521
349:FGMRES Solver Time:3.76261
361:FGMRES Solver Time:0.309273
373:FGMRES Solver Time:4.82118
385:FGMRES Solver Time:0.311032
397:FGMRES Solver Time:4.81612
409:FGMRES Solver Time:0.308669
421:FGMRES Solver Time:4.81373
433:FGMRES Solver Time:0.309941
445:FGMRES Solver Time:4.81498
457:FGMRES Solver Time:0.307619
469:FGMRES Solver Time:4.82591
481:FGMRES Solver Time:0.307678
493:FGMRES Solver Time:4.79897
505:FGMRES Solver Time:0.433112
517:FGMRES Solver Time:4.8065
529:FGMRES Solver Time:0.437379
541:FGMRES Solver Time:4.79595
553:FGMRES Solver Time:0.431692
565:FGMRES Solver Time:4.8023
577:FGMRES Solver Time:0.433028
589:FGMRES Solver Time:4.80526
601:FGMRES Solver Time:0.435721
613:FGMRES Solver Time:4.80625
625:FGMRES Solver Time:0.430018
637:FGMRES Solver Time:4.80021
649:FGMRES Solver Time:0.430931
661:FGMRES Solver Time:4.81294
673:FGMRES Solver Time:0.433359
685:FGMRES Solver Time:4.83108
697:FGMRES Solver Time:0.431849
709:FGMRES Solver Time:4.82693
721:FGMRES Solver Time:0.434889
733:FGMRES Solver Time:4.82304
745:FGMRES Solver Time:0.431219
757:FGMRES Solver Time:4.82187
769:FGMRES Solver Time:0.436122
781:FGMRES Solver Time:4.81455
793:FGMRES Solver Time:0.433087
805:FGMRES Solver Time:4.81656
817:FGMRES Solver Time:0.432353
829:FGMRES Solver Time:4.82095
841:FGMRES Solver Time:0.429336
853:FGMRES Solver Time:4.82013
865:FGMRES Solver Time:0.437129
877:FGMRES Solver Time:4.82121
889:FGMRES Solver Time:0.432465
901:FGMRES Solver Time:4.81072
913:FGMRES Solver Time:0.430681
925:FGMRES Solver Time:4.8135
937:FGMRES Solver Time:0.434111
949:FGMRES Solver Time:4.83278
961:FGMRES Solver Time:0.436234
973:FGMRES Solver Time:4.81673
985:FGMRES Solver Time:0.437653
997:FGMRES Solver Time:4.81411
1009:FGMRES Solver Time:0.431857
1021:FGMRES Solver Time:4.81362
1033:FGMRES Solver Time:0.432139
1045:FGMRES Solver Time:4.8143
1057:FGMRES Solver Time:0.428338
1069:FGMRES Solver Time:4.82154
1081:FGMRES Solver Time:0.433255
1093:FGMRES Solver Time:4.81964
1105:FGMRES Solver Time:0.432177
1117:FGMRES Solver Time:4.81405
1129:FGMRES Solver Time:0.430081
1141:FGMRES Solver Time:4.81759
1153:FGMRES Solver Time:0.432798
1165:FGMRES Solver Time:4.82586
1177:FGMRES Solver Time:0.43148
1189:FGMRES Solver Time:4.82227
1201:FGMRES Solver Time:0.434544
1213:FGMRES Solver Time:4.82205
1225:FGMRES Solver Time:0.431858
1237:FGMRES Solver Time:4.81461
1249:FGMRES Solver Time:0.434406
1261:FGMRES Solver Time:4.82091
1273:FGMRES Solver Time:0.433761
1285:FGMRES Solver Time:4.82189
1297:FGMRES Solver Time:0.437148
1309:FGMRES Solver Time:4.81722
1321:FGMRES Solver Time:0.432224
1333:FGMRES Solver Time:4.81475
1345:FGMRES Solver Time:0.433045
1357:FGMRES Solver Time:4.81078
1369:FGMRES Solver Time:0.433384
1381:FGMRES Solver Time:4.81618
1393:FGMRES Solver Time:0.433139
1405:FGMRES Solver Time:4.81549
1417:FGMRES Solver Time:0.432757
1429:FGMRES Solver Time:4.82132
1441:FGMRES Solver Time:0.431981
1453:FGMRES Solver Time:4.81891
1465:FGMRES Solver Time:0.433704
1477:FGMRES Solver Time:4.81143
1489:FGMRES Solver Time:0.431947
1501:FGMRES Solver Time:4.81086
1513:FGMRES Solver Time:0.433083
1525:FGMRES Solver Time:4.81363
1537:FGMRES Solver Time:0.433894
1549:FGMRES Solver Time:4.82279
1561:FGMRES Solver Time:0.432434
1573:FGMRES Solver Time:4.83251
1585:FGMRES Solver Time:0.43426

