Total Time: 0.312364
Total Time: 0.308992
Total Time: 0.321783
Total Time: 0.304717
Total Time: 0.305149
Total Time: 0.302331
Total Time: 0.306698
Total Time: 0.3295
Total Time: 0.3064
Total Time: 0.284378
Total Time: 0.274024
Total Time: 0.273704
Total Time: 0.279997
Total Time: 0.273802
Total Time: 0.27744
Total Time: 0.278559
Total Time: 0.279572
Total Time: 0.28372
Total Time: 0.275384
Total Time: 0.289193
Total Time: 0.272404
Total Time: 0.276472
Total Time: 0.278585
Total Time: 0.287092
Total Time: 0.281048
Total Time: 0.277499
Total Time: 0.278165
Total Time: 0.278347
Total Time: 0.277389
Total Time: 0.286241
Total Time: 0.280013
Total Time: 0.290751
Total Time: 0.278617
Total Time: 0.250328
Total Time: 0.24565
Total Time: 0.248897
Total Time: 0.250921
Total Time: 0.249429
Total Time: 0.250159
Total Time: 0.251255
Total Time: 0.246319
Total Time: 0.251235
Total Time: 0.25012
Total Time: 0.250274
Total Time: 0.248387
Total Time: 0.247626
Total Time: 0.246146
Total Time: 0.241687
Total Time: 0.247542
Total Time: 0.250356
Total Time: 0.254162
