    solve: 0.225777 s
    solve: 0.219515 s
    solve: 0.219968 s
    solve: 0.225196 s
    solve: 0.216614 s
    solve: 0.219797 s
    solve: 0.220437 s
    solve: 0.227984 s
    solve: 0.220937 s
    solve: 0.196614 s
    solve: 0.195207 s
    solve: 0.191545 s
    solve: 0.18871 s
    solve: 0.189952 s
    solve: 0.191414 s
    solve: 0.194773 s
    solve: 0.200705 s
    solve: 0.189515 s
    solve: 0.197832 s
    solve: 0.198794 s
    solve: 0.199466 s
    solve: 0.200657 s
    solve: 0.193342 s
    solve: 0.189317 s
    solve: 0.191363 s
    solve: 0.193551 s
    solve: 0.190721 s
    solve: 0.193971 s
    solve: 0.19383 s
    solve: 0.197273 s
    solve: 0.192138 s
    solve: 0.198338 s
    solve: 0.189048 s
    solve: 0.166129 s
    solve: 0.162806 s
    solve: 0.162512 s
    solve: 0.16231 s
    solve: 0.164818 s
    solve: 0.168399 s
    solve: 0.161437 s
    solve: 0.162136 s
    solve: 0.166968 s
    solve: 0.162683 s
    solve: 0.172028 s
    solve: 0.167869 s
    solve: 0.163133 s
    solve: 0.166516 s
    solve: 0.173756 s
    solve: 0.171606 s
    solve: 0.173043 s
    solve: 0.176874 s
