Smoother used 0.131506
Smoother used 0.131503
Smoother used 0.131518
Smoother used 0.131517
Smoother used 0.131513
Smoother used 0.131456
Smoother used 0.131478
Smoother used 0.13147
Smoother used 0.131482
Smoother used 0.115056
Smoother used 0.115061
Smoother used 0.115029
Smoother used 0.115064
Smoother used 0.115068
Smoother used 0.115043
Smoother used 0.115083
Smoother used 0.115042
Smoother used 0.115083
Smoother used 0.115047
Smoother used 0.115086
Smoother used 0.115065
Smoother used 0.115031
Smoother used 0.115119
Smoother used 0.115067
Smoother used 0.115046
Smoother used 0.11507
Smoother used 0.115045
Smoother used 0.115053
Smoother used 0.11508
Smoother used 0.115134
Smoother used 0.115064
Smoother used 0.115053
Smoother used 0.115024
Smoother used 0.0986255
Smoother used 0.0986204
Smoother used 0.0986164
Smoother used 0.0985753
Smoother used 0.0986153
Smoother used 0.098605
Smoother used 0.0986173
Smoother used 0.0986265
Smoother used 0.0986215
Smoother used 0.0986267
Smoother used 0.0986163
Smoother used 0.0986112
Smoother used 0.0985928
Smoother used 0.0986378
Smoother used 0.0985804
Smoother used 0.0985784
Smoother used 0.0986152
Smoother used 0.0986429
